"","Gene","test.type","p_value","log2.mean.Cluster_Other","log2.mean.1","log2fold_change","Auc"
"150","Tgds__chr14","hurdle",2.93839974018897e-19,-3.321928,1.847997,5.169925,1
"119","Olfr152__chr2","hurdle",2.93839974018897e-19,-3.321928,1.378512,4.70044,1
"108","Kansl2__chr15","hurdle",6.16373688503244e-17,-3.18952,4.177918,7.367438,1
"106","Inpp5f__chr7","hurdle",2.93839974018897e-19,-3.321928,3.963474,7.285402,1
"102","Igdcc3__chr9","hurdle",2.93839974018897e-19,-3.321928,4.230101,7.552029,1
"95","Gtf2h5__chr17","hurdle",1.66433536776777e-47,-0.7262463,4.4217843,5.1480306,1
"89","Gm8453__chr7","hurdle",2.39960334220777e-60,-0.5085741,4.7865964,5.2951705,1
"88","Gm6772__chr12","hurdle",2.93839974018897e-19,-3.321928,4.421784,7.743712,1
"86","Gm5506__chr4","hurdle",2.93839974018897e-19,-3.321928,5.187187,8.509115,1
"85","Gm4179__chr7","hurdle",2.93839974018897e-19,-3.321928,3.993976,7.315904,1
"84","Gm3317__chr14","hurdle",1.96676323388718e-37,-0.6092911,4.067524,4.6768151,1
"83","Gm21057__chr7","hurdle",2.93839974018897e-19,-3.321928,4.204245,7.526173,1
"82","Gm20752__chr3","hurdle",2.3228083360207e-17,-3.084382,5.835419,8.919801,1
"81","Gm1993__chrX","hurdle",2.93839974018897e-19,-3.321928,3.800469,7.122397,1
"73","Fam19a1__chr6","hurdle",2.93839974018897e-19,-3.321928,3.616671,6.938599,1
"70","Faf1__chr4","hurdle",2.93839974018897e-19,-3.321928,3.383128,6.705056,1
"67","Emc7__chr2","hurdle",2.93839974018897e-19,-3.321928,4.204245,7.526173,1
"65","Eepd1__chr9","hurdle",2.93839974018897e-19,-3.321928,5.889149,9.211077,1
"64","Echdc3__chr2","hurdle",2.93839974018897e-19,-3.321928,3.4285,6.750428,1
"63","Ear5__chr14","hurdle",2.93839974018897e-19,-3.321928,6.825701,10.147629,1
"62","E430016F16Rik__chr7","hurdle",2.93839974018897e-19,-3.321928,4.280461,7.602389,1
"60","Dydc1__chr14","hurdle",2.93839974018897e-19,-3.321928,3.405992,6.72792,1
"59","Dpysl2__chr14","hurdle",2.93839974018897e-19,-3.321928,3.867896,7.189824,1
