"","Gene","test.type","p_value","log2.mean.Cluster_Other","log2.mean.2","log2fold_change","Auc"
"76","Mettl5__chr2","hurdle",1.21502241630951e-29,-3.321928,3.419539,6.741467,1
"75","Med26__chr8","hurdle",1.21502241630951e-29,-3.321928,3.786596,7.108524,1
"71","Lama5__chr2","hurdle",1.21502241630951e-29,-3.321928,6.89603,10.217958,1
"69","Krt18__chr15","hurdle",1.21502241630951e-29,-3.321928,5.125155,8.447083,1
"68","Kndc1__chr7","hurdle",1.21502241630951e-29,-3.321928,5.300124,8.622052,1
"67","Klhdc8a__chr1","hurdle",1.21502241630951e-29,-3.321928,5.385431,8.707359,1
"64","Jmjd4__chr11","hurdle",1.21502241630951e-29,-3.321928,4.760221,8.082149,1
"63","Irf2__chr8","hurdle",3.89936643156848e-57,0.2420133,4.7114949,4.4694816,1
"62","Insl3__chr8","hurdle",1.21502241630951e-29,-3.321928,4.548437,7.870365,1
"61","Inpp5j__chr11","hurdle",1.21502241630951e-29,-3.321928,3.776104,7.098032,1
"60","Il34__chr8","hurdle",1.21502241630951e-29,-3.321928,3.608809,6.930737,1
"59","Idh3g__chrX","hurdle",1.71658471150845e-71,-0.4726416,4.385431,4.8580726,1
"58","Ide__chr19","hurdle",1.21502241630951e-29,-3.321928,3,6.321928,1
"56","Hk3__chr13","hurdle",1.21502241630951e-29,-3.321928,5.318317,8.640245,1
"53","H2-T9__chr17","hurdle",4.8629958960773e-44,0.5348801,4.4982509,3.9633708,1
"52","H2-K2__chr17","hurdle",1.21502241630951e-29,-3.321928,4.087463,7.409391,1
"50","Gpx1__chr9","hurdle",1.21502241630951e-29,-3.321928,4.270529,7.592457,1
"48","Gm839__chr6","hurdle",1.21502241630951e-29,-3.321928,4.83289,8.154818,1
"47","Gm5860__chr4","hurdle",1.21502241630951e-29,-3.321928,4.145677,7.467605,1
"46","Gm21950__chrX","hurdle",1.21502241630951e-29,-3.321928,4.70044,8.022368,1
"42","Gm10510__chr17","hurdle",1.21502241630951e-29,-3.321928,3.877744,7.199672,1
"41","Fcgrt__chr7","hurdle",1.21502241630951e-29,-3.321928,3.972693,7.294621,1
"39","Fam149b__chr14","hurdle",1.21502241630951e-29,-3.321928,4.916477,8.238405,1
"36","Epha2__chr4","hurdle",1.21502241630951e-29,-3.321928,4.378512,7.70044,1
"33","Dzank1__chr2","hurdle",1.21502241630951e-29,-3.321928,3.432959,6.754887,1
"32","Duxbl1__chr14","hurdle",1.21502241630951e-29,-3.321928,4.0268,7.348728,1
"31","Ddx10__chr9","hurdle",1.21502241630951e-29,-3.321928,4.095924,7.417852,1
"26","Csf1__chr3","hurdle",1.21502241630951e-29,-3.321928,4.661065,7.982993,1
"23","Cnot3__chr7","hurdle",1.21502241630951e-29,-3.321928,3.925999,7.247927,1
"22","Cdh7__chr1","hurdle",1.21502241630951e-29,-3.321928,5.240314,8.562242,1
"20","Ccdc91__chr6","hurdle",1.21502241630951e-29,-3.321928,4.161888,7.483816,1
"15","Best2__chr8","hurdle",1.21502241630951e-29,-3.321928,4.419539,7.741467,1
"14","BC080695__chr4","hurdle",1.21502241630951e-29,-3.321928,3.548437,6.870365,1
"13","Atp6v1g2__chr17","hurdle",1.21502241630951e-29,-3.321928,3.307429,6.629357,1
"10","Aoc3__chr11","hurdle",1.21502241630951e-29,-3.321928,4.232661,7.554589,1
"9","Aldh1l1__chr6","hurdle",1.21502241630951e-29,-3.321928,3.678072,7,1
"8","Add2__chr6","hurdle",1.21502241630951e-29,-3.321928,3.89724,7.219168,1
"6","Abcc4__chr14","hurdle",1.21502241630951e-29,-3.321928,7.299208,10.621136,1
"2","1700109H08Rik__chr5","hurdle",1.21502241630951e-29,-3.321928,4.307429,7.629357,1
"1","1700016L04Rik__chr10","hurdle",1.21502241630951e-29,-3.321928,3,6.321928,1
"54","H2afx__chr9","hurdle",5.04042553008719e-41,0.1146888,3.9818527,3.8671639,0.999
"17","Car12__chr9","hurdle",2.68236871784079e-39,-0.4476113,3.3219281,3.7695394,0.996
"43","Gm11937__chr11","hurdle",1.39433502633749e-32,0.5185945,4.1375035,3.618909,0.992
"25","Cript__chr17","hurdle",1.54101034158525e-35,-0.1693445,3.6322682,3.8016127,0.99
"66","Kdm2b__chr5","hurdle",4.58773047965249e-29,0.2330784,3.7548875,3.5218091,0.971
"65","Kbtbd8__chr6","hurdle",6.35103478178391e-25,0.5991929,3.8777442,3.2785513,0.968
"88","Sepp1__chr15","hurdle",3.72294685725064e-26,-3.3219281,0.9259994,4.2479275,0.95
"73","Lzts2__chr19","hurdle",3.72294685725244e-26,-3.321928,3.981853,7.303781,0.95
"11","Apof__chr10","hurdle",3.72294685725263e-26,-3.321928,3.432959,6.754887,0.95
"19","Cbln1__chr8","hurdle",5.59058600309136e-05,3.814938,5.100137,1.285199,0.91
"24","Commd10__chr18","hurdle",3.61723199925823e-05,3.60211,5.133399,1.531289,0.862
"7","Acvr1c__chr2","hurdle",1.36805840607594e-05,3.479287,5.125155,1.645868,0.857
"82","Ppfia4__chr1","hurdle",7.00137984012951e-20,-3.3219281,0.5849625,3.9068906,0.85
"40","Fam174b__chr7","hurdle",0.000523709707054846,3.451282,4.649615,1.198333,0.829
"57","Hspa8__chr9","hurdle",3.74953148822385e-05,4.019006,5.590961,1.571955,0.81
"4","9430076C15Rik__chr6","hurdle",0.00696401266022112,4.550606,5.61471,1.064104,0.786
"89","Serpinb7__chr1","hurdle",0.00420425954229047,2.742602,3.744161,1.001559,0.785
"16","Bzw2__chr12","hurdle",0.000887837825792977,-0.545548,0.9259994,1.4715474,0.78
"78","Olfr141__chr2","hurdle",0.00613526552215258,3.826797,4.867896,1.041099,0.764
"84","Raver2__chr4","hurdle",0.00937796050108007,0.3061559,1.3219281,1.0157722,0.756
"74","Mapk9__chr11","hurdle",0.0136215390876005,-0.3950343,0.7655347,1.160569,0.738
"18","Car5b__chrX","hurdle",0.017722003730821,0.5454173,1.5849625,1.0395452,0.725
"38","Etv4__chr11","hurdle",0.0205004051372461,-0.03425632,1,1.03425632,0.724
"44","Gm12359__chr11","hurdle",0.00888292885525034,-0.1326612,1.1375035,1.2701647,0.72
"21","Ccnl1__chr3","hurdle",0.0315148733645124,-0.4495717,0.5849625,1.0345342,0.719
"49","Gm933__chr16","hurdle",0.005767935560173,-0.4960864,0.8479969,1.3440833,0.713
"51","Gyg__chr3","hurdle",0.0413341180966731,-0.3071012,0.7655347,1.0726359,0.706
"86","Scgb1b3__chr7","hurdle",0.0266322916481444,-0.7167578,0.5849625,1.3017203,0.702
"5","A230020J21Rik__chr1","hurdle",0.0290142516014856,-0.6208624,0.5849625,1.2058249,0.701
"77","Nudcd1__chr15","hurdle",0.0296007415487065,-0.2247805,0.9259994,1.1507799,0.7
"28","D17Ertd648e__chr17","hurdle",0.0378191392026931,-0.04409638,1,1.04409638,0.697
"70","Krt6a__chr15","hurdle",0.0496174982005219,-0.57806,0.4854268,1.0634868,0.693
"91","Tas2r134__chr2","hurdle",0.0188883090205517,-0.6386435,0.3785116,1.0171551,0.691
"80","P4ha3__chr7","hurdle",0.0126514316167266,-0.2219855,0.9259994,1.1479849,0.687
"12","Atp5c1__chr2","hurdle",0.00952779964173947,0.02529818,1.07038933,1.04509115,0.685
"29","D930032P07Rik__chr19","hurdle",0.077290731173657,-0.5794904,0.4854268,1.0649172,0.68
"85","Rnpc3__chr3","hurdle",0.0022735504673303,-0.6282445,0.7655347,1.3937792,0.676
"45","Gm15987__chr6","hurdle",0.0064709969133419,-0.5902632,0.5849625,1.1752257,0.674
"37","Espnl__chr1","hurdle",0.0356247200136969,-0.5351027,0.4854268,1.0205295,0.658
"35","Emg1__chr6","hurdle",0.089701466081316,-0.6687744,0.3785116,1.047286,0.655
"27","Cxcr3__chrX","hurdle",0.0432529305827286,-0.7065637,0.4854268,1.1919905,0.654
"83","Prr22__chr17","hurdle",0.0375246798701163,-0.5809221,0.6780719,1.258994,0.645
"3","4930470H14Rik__chr17","hurdle",0.0239544904580408,-0.700326,0.9259994,1.6263254,0.643
"90","Spice1__chr16","hurdle",0.167888911852006,-0.6941152,0.3785116,1.0726268,0.633
"72","Lrrc6__chr15","hurdle",0.132851763132256,-0.4933876,0.5849625,1.0783501,0.628
