"","Gene","test.type","p_value","log2.mean.Cluster_Other","log2.mean.3","log2fold_change","Auc"
"57","Wdr90__chr17","hurdle",0,-2.728996,4.906265,7.635261,0.998
"45","Srd5a2__chr17","hurdle",0,-2.961867,4.798776,7.760643,0.998
"13","Nkx2-1__chr12","hurdle",0,-3.052561,3.994263,7.046824,0.998
"26","Pcnt__chr10","hurdle",0,-1.991283,5.746407,7.73769,0.997
"52","Trcg1__chr9","hurdle",0,-2.208731,4.644606,6.853337,0.996
"25","Papss2__chr19","hurdle",0,-2.114115,4.362435,6.47655,0.996
"21","Olfr447__chr6","hurdle",0,-3.266593,4.048411,7.315004,0.996
"46","Ssh1__chr5","hurdle",0,-2.629648,3.81578,6.445428,0.995
"36","Rpp25l__chr4","hurdle",0,-3.006502,3.692427,6.698929,0.995
"8","Mterfd1__chr13","hurdle",0,-0.5467612,6.4251571,6.9719183,0.995
"14","Nploc4__chr11","hurdle",0,-1.936274,4.445462,6.381736,0.994
"60","Zfp521__chr18","hurdle",0,-1.497549,4.293996,5.791545,0.993
"53","Ube2m__chr7","hurdle",0,-2.907949,3.587785,6.495734,0.993
"51","Traf5__chr1","hurdle",0,-2.747818,3.701494,6.449312,0.993
"50","Tnfrsf14__chr4","hurdle",0,-2.120233,3.808437,5.92867,0.993
"32","Rad51d__chr11","hurdle",0,-3.307894,3.52682,6.834714,0.993
"6","Mmgt2__chr11","hurdle",0,-2.692073,3.447711,6.139784,0.993
"41","Slc1a7__chr4","hurdle",0,-1.469941,4.219749,5.68969,0.992
"30","Ppid__chr3","hurdle",0,-2.189305,3.608218,5.797523,0.992
"28","Pigyl__chr9","hurdle",0,-2.296071,3.337711,5.633782,0.992
"24","Olfr986__chr9","hurdle",0,-1.450539,4.389842,5.840381,0.992
"22","Olfr52__chr2","hurdle",0,-2.359793,3.80998,6.169773,0.992
"12","Ncf2__chr1","hurdle",0,-2.504335,3.631686,6.136021,0.992
"9","Mup9__chr4","hurdle",0,-0.5021361,5.3340855,5.8362216,0.992
"58","Ypel2__chr11","hurdle",0,-1.867762,3.797013,5.664775,0.991
"43","Smim3__chr18","hurdle",0,-1.77797,3.914756,5.692726,0.991
"37","Ryr3__chr2","hurdle",0,-2.202226,3.667438,5.869664,0.991
"11","Nat10__chr2","hurdle",0,-1.477775,4.203906,5.681681,0.991
"7","Morc3__chr16","hurdle",0,-1.969027,3.901832,5.870859,0.991
"55","Vmn2r84__chr10","hurdle",0,-1.209709,4.367581,5.57729,0.99
"33","Ralgapa1__chr12","hurdle",0,-2.025324,3.674856,5.70018,0.99
"23","Olfr605__chr7","hurdle",0,-1.862625,3.726232,5.588857,0.99
"59","Zcchc16__chrX","hurdle",0,-2.036851,3.507287,5.544138,0.989
"49","Tmem8__chr17","hurdle",0,-2.296071,3.357833,5.653904,0.989
"35","Rhbdf2__chr11","hurdle",0,-2.126377,3.49774,5.624117,0.989
"56","Wdr36__chr18","hurdle",0,-2.208731,3.494224,5.702955,0.988
"44","Snord87__chr1","hurdle",0,-1.239368,4.126849,5.366217,0.988
"19","Olfr1487__chr19","hurdle",0,-1.94711,3.61247,5.55958,0.988
"31","Ppp6c__chr2","hurdle",0,-1.721071,3.561754,5.282825,0.987
"27","Pcsk7__chr9","hurdle",0,-1.339308,3.889863,5.229171,0.987
"42","Slc36a3__chr11","hurdle",0,0.01025833,4.37646404,4.36620571,0.986
"40","Serpinb7__chr1","hurdle",0,-1.74924,3.321567,5.070807,0.985
"34","Rfpl3s__chr9","hurdle",0,-1.193491,3.807303,5.000794,0.985
"54","Uqcrh__chr4","hurdle",0,-1.622248,3.476187,5.098435,0.984
"20","Olfr347__chr2","hurdle",0,1.132816,5.000631,3.867815,0.984
"18","Olfr141__chr2","hurdle",0,-0.5202253,4.4037108,4.9239361,0.984
"15","Nr0b2__chr4","hurdle",0,1.33585,4.775893,3.440043,0.978
"48","Tcl1b3__chr12","hurdle",0,-0.2020641,3.4626413,3.6647054,0.969
"16","Nrg3__chr14","hurdle",0,-0.1763383,3.3863281,3.5626664,0.967
"39","Sec63__chr10","hurdle",0,0.3438176,3.4575286,3.113711,0.956
"10","Mxra8__chr4","hurdle",0,-2.06608,2.291014,4.357094,0.955
"29","Pld4__chr12","hurdle",0,-2.289162,1.9115,4.200662,0.938
"5","Lmbr1__chr5","hurdle",0,3.686191,6.270632,2.584441,0.929
"47","Taf9b__chrX","hurdle",0,2.379515,4.44748,2.067965,0.913
"4","Hspb6__chr7","hurdle",8.12827255545359e-279,3.487654,5.276552,1.788898,0.871
"38","Scgb1b30__chr7","hurdle",9.95248271127657e-291,-3.0065018,0.4059924,3.4124942,0.81
"3","Eif3e__chr15","hurdle",1.2937453409789e-151,3.552313,4.747978,1.195665,0.792
"1","Agl__chr3","hurdle",3.44485695426199e-135,3.422856,4.495183,1.072327,0.775
"2","D14Abb1e__chr14","hurdle",3.8486362703603e-125,4.502083,5.676987,1.174904,0.77
"17","Ntmt1__chr2","hurdle",2.51862178863415e-130,-3.1001402,-0.6654317,2.4347085,0.673
