"","Gene","test.type","p_value","log2.mean.Cluster_Other","log2.mean.4","log2fold_change","Auc"
"56","Lama3__chr18","hurdle",0,-3.321928,5.66687,8.988798,1
"1","1700003M07Rik__chr4","hurdle",0,-3.321928,6.261662,9.58359,1
"36","Fmn1__chr2","hurdle",0,-3.321928,4.800538,8.122466,0.999
"34","Fam35a__chr14","hurdle",0,-3.321928,4.322866,7.644794,0.999
"26","Dact3__chr7","hurdle",0,-3.321928,4.212881,7.534809,0.999
"11","Akr1b7__chr6","hurdle",0,-3.321928,3.833497,7.155425,0.999
"5","4930429F24Rik__chr9","hurdle",0,-3.321928,5.630609,8.952537,0.999
"60","Mib1__chr18","hurdle",0,-3.321928,4.34724,7.669168,0.998
"52","Kif9__chr9","hurdle",0,-3.321928,3.997925,7.319853,0.998
"41","Gm12169__chr11","hurdle",0,-3.321928,4.407965,7.729893,0.998
"37","Fscn1__chr5","hurdle",0,-3.321928,4.501503,7.823431,0.998
"28","Ddx25__chr9","hurdle",0,-3.321928,4.557042,7.87897,0.998
"27","Dazap1__chr10","hurdle",0,-3.321928,4.131178,7.453106,0.998
"25","Cyp2b23__chr7","hurdle",0,-3.321928,4.308594,7.630522,0.998
"20","Ccdc18__chr5","hurdle",0,-3.321928,4.75841,8.080338,0.998
"19","Bcas2__chr3","hurdle",0,-3.321928,3.655581,6.977509,0.998
"16","Arpc5__chr1","hurdle",0,-3.321928,4.120518,7.442446,0.998
"14","Arhgap30__chr1","hurdle",0,-3.321928,4.531818,7.853746,0.998
"12","Akr1b8__chr6","hurdle",0,-3.321928,4.362821,7.684749,0.998
"7","4933417D19Rik__chr8","hurdle",0,-3.321928,4.200379,7.522307,0.998
"6","4930567H12Rik__chr8","hurdle",0,-3.321928,4.109444,7.431372,0.998
"2","1700066O22Rik__chr18","hurdle",0,-3.321928,4.132906,7.454834,0.998
"39","Galnt5__chr2","hurdle",0,-3.321928,4.490891,7.812819,0.997
"58","Lhx9__chr1","hurdle",0,-3.321928,3.522935,6.844863,0.996
"55","Krt20__chr11","hurdle",0,-3.321928,3.708518,7.030446,0.996
"50","Il6st__chr13","hurdle",0,-3.321928,3.885477,7.207405,0.996
"48","Icam5__chr9","hurdle",0,-3.321928,3.810649,7.132577,0.996
"44","Gm4216__chr7","hurdle",0,-3.321928,3.828733,7.150661,0.996
"43","Gm19466__chr18","hurdle",0,-3.321928,3.968644,7.290572,0.996
"40","Gm10532__chr18","hurdle",0,-3.321928,4.33821,7.660138,0.996
"30","Dnase2a__chr8","hurdle",0,-3.321928,3.601697,6.923625,0.996
"29","Dnajc17__chr2","hurdle",0,-3.321928,3.585563,6.907491,0.996
"24","Csrp3__chr7","hurdle",0,-3.321928,3.479877,6.801805,0.996
"18","Bbs1__chr19","hurdle",0,-3.321928,3.372395,6.694323,0.996
"59","Mageb18__chrX","hurdle",0,-3.321928,3.536426,6.858354,0.995
"35","Fam65a__chr8","hurdle",0,-3.321928,3.783771,7.105699,0.994
"33","Etv2__chr7","hurdle",0,-3.321928,3.633896,6.955824,0.994
"10","Agbl5__chr5","hurdle",0,-3.321928,3.525067,6.846995,0.994
"8","Actl6b__chr5","hurdle",0,-3.321928,3.444137,6.766065,0.994
"3","2300005B03Rik__chr15","hurdle",0,-3.321928,3.311503,6.633431,0.994
"53","Klc1__chr12","hurdle",0,-3.321928,3.389291,6.711219,0.993
"46","Gpt__chr15","hurdle",0,-3.321928,3.861558,7.183486,0.993
"9","Adrb2__chr18","hurdle",0,-3.321928,3.546833,6.868761,0.993
"54","Klra9__chr6","hurdle",0,-3.321928,3.453649,6.775577,0.992
"38","Galm__chr17","hurdle",0,-3.321928,3.347949,6.669877,0.992
"17","Atg9a__chr1","hurdle",0,-3.321928,3.530945,6.852873,0.992
"13","Angptl4__chr17","hurdle",0,-3.321928,3.437627,6.759555,0.992
"4","2700038G22Rik__chr5","hurdle",0,-3.321928,3.465583,6.787511,0.992
"32","Ercc8__chr13","hurdle",0,1.322727,5.772572,4.449845,0.99
"45","Gm5615__chr9","hurdle",0,-0.57682,4.060826,4.637646,0.989
"31","Doc2b__chr11","hurdle",0,-0.4092962,3.7755774,4.1848736,0.987
"65","Tab2__chr10","hurdle",0,-3.321928,2.329411,5.651339,0.974
"51","Kcnk9__chr15","hurdle",0,0.2521177,3.4615286,3.2094109,0.962
"49","Idh3a__chr9","hurdle",0,1.086934,3.790459,2.703525,0.949
"61","Peli2__chr14","hurdle",0,-3.321928,1.953079,5.275007,0.948
"21","Col4a3bp__chr13","hurdle",0,3.46353,6.402739,2.939209,0.943
"57","Letm1__chr5","hurdle",0,1.065968,3.355157,2.289189,0.917
"64","Snrpe__chr1","hurdle",0,-3.321928,1.041243,4.363171,0.886
"42","Gm15713__chr16","hurdle",1.37975390879088e-309,3.497392,5.329231,1.831839,0.883
"22","Cpne7__chr8","hurdle",2.01875163101175e-292,3.483241,5.256482,1.773241,0.873
"47","Hist1h2af__chr13","hurdle",1.08249170101585e-200,2.372561,3.743838,1.371277,0.823
"15","Armc9__chr1","hurdle",1.74061777726801e-176,4.307461,5.731129,1.423668,0.806
"23","Csf2rb__chr15","hurdle",2.27227053073877e-166,3.638815,4.905014,1.266199,0.8
"62","Prl3c1__chr13","hurdle",0,-3.3219281,0.3379965,3.6599246,0.798
"63","Ranbp10__chr8","hurdle",3.39113235024515e-279,-3.3219281,-0.1250064,3.1969217,0.742
