"","Gene","test.type","p_value","log2.mean.Cluster_Other","log2.mean.1","log2fold_change","Auc"
"39","ENSG00000101439","hurdle",0,-1.533769,2.967974,4.501743,0.982
"165","ENSG00000167996","hurdle",0,2.025337,4.38889,2.363553,0.978
"220","ENSG00000204482","hurdle",0,-1.962789,2.440962,4.403751,0.974
"219","ENSG00000204472","hurdle",0,-1.679965,2.64699,4.326955,0.973
"140","ENSG00000158869","hurdle",0,-1.580488,2.074859,3.655347,0.956
"42","ENSG00000103187","hurdle",0,-0.8182797,2.034338,2.8526177,0.952
"202","ENSG00000196126","hurdle",0,-0.3799043,2.8061789,3.1860832,0.948
"227","ENSG00000231389","hurdle",0,-1.011246,2.33538,3.346626,0.94
"217","ENSG00000204287","hurdle",0,-0.2444922,2.9811046,3.2255968,0.94
"4","ENSG00000011600","hurdle",0,-0.6080173,2.3034139,2.9114312,0.938
"30","ENSG00000090382","hurdle",0,-2.353941,2.411559,4.7655,0.937
"25","ENSG00000087086","hurdle",0,2.530211,4.77116,2.240949,0.93
"212","ENSG00000198502","hurdle",0,-1.172967,1.790422,2.963389,0.928
"7","ENSG00000019582","hurdle",0,1.210081,3.540999,2.330918,0.926
"99","ENSG00000130066","hurdle",0,-1.097686,2.17323,3.270916,0.921
"18","ENSG00000066336","hurdle",0,-2.8431471,0.6937601,3.5369072,0.92
"224","ENSG00000223865","hurdle",0,-0.6170958,2.4410298,3.0581256,0.914
"150","ENSG00000163191","hurdle",0,-1.404169,1.270792,2.674961,0.909
"209","ENSG00000197746","hurdle",0,-1.519393,1.310856,2.830249,0.906
"149","ENSG00000163131","hurdle",0,-1.765771,1.434042,3.199813,0.9
"9","ENSG00000025708","hurdle",0,-2.245066,0.7216178,2.9666838,0.898
"49","ENSG00000104904","hurdle",0,0.9370215,2.3922055,1.455184,0.893
"44","ENSG00000103490","hurdle",0,-1.6595584,0.6560711,2.3156295,0.873
"203","ENSG00000196154","hurdle",0,1.229294,2.825323,1.596029,0.871
"93","ENSG00000126759","hurdle",0,-2.8207984,0.2332587,3.0540571,0.864
"23","ENSG00000085265","hurdle",0,-2.6473742,0.9854791,3.6328533,0.863
"33","ENSG00000100097","hurdle",0,-0.8396187,1.1736547,2.0132734,0.853
"81","ENSG00000119655","hurdle",0,-1.9361957,0.4350379,2.3712336,0.852
"21","ENSG00000084207","hurdle",0,-0.7603709,1.1604288,1.9207997,0.851
"210","ENSG00000197766","hurdle",0,-2.7457061,0.8899363,3.6356424,0.847
"31","ENSG00000092841","hurdle",0,0.6560363,1.9395583,1.283522,0.846
"205","ENSG00000197249","hurdle",0,-3.0217037,0.5817588,3.6034625,0.843
"222","ENSG00000216490","hurdle",0,-3.028264,0.3365329,3.3647969,0.84
"211","ENSG00000197956","hurdle",0,0.5734397,1.9671874,1.3937477,0.837
"101","ENSG00000130429","hurdle",0,0.002738856,1.381655,1.378916144,0.836
