"","Gene","test.type","p_value","log2.mean.Cluster_Other","log2.mean.8","log2fold_change","Auc"
"34","ENSG00000161570","hurdle",0,0.7015436,3.5802997,2.8787561,0.95
"14","ENSG00000115523","hurdle",0,0.9293172,3.9469695,3.0176523,0.943
"11","ENSG00000105374","hurdle",0,0.684626,3.341608,2.656982,0.936
"8","ENSG00000100450","hurdle",0,-2.174946,1.838234,4.01318,0.929
"9","ENSG00000100453","hurdle",0,-1.109757,1.724653,2.83441,0.884
"6","ENSG00000077984","hurdle",0,-0.9093536,1.432278,2.3416316,0.861
"25","ENSG00000137441","hurdle",0,-1.85293,1.195123,3.048053,0.838
"30","ENSG00000145649","hurdle",0,-0.7658699,1.3456158,2.1114857,0.827
"39","ENSG00000172543","hurdle",0,-0.7225063,1.1787526,1.9012589,0.811
"3","ENSG00000008517","hurdle",0,0.8814648,2.0876791,1.2062143,0.748
"1","ENSG00000002586","hurdle",0,-0.5139332,0.822837,1.3367702,0.737
"42","ENSG00000180644","hurdle",0,-1.7493817,0.1917633,1.941145,0.722
"37","ENSG00000171476","hurdle",0,-1.5885482,0.2615268,1.850075,0.718
"18","ENSG00000126264","hurdle",0,-0.2799868,0.8644804,1.1444672,0.707
"7","ENSG00000100097","hurdle",0,-0.9276588,0.6369478,1.5646066,0.704
"32","ENSG00000153563","hurdle",0,-2.17111239,-0.07138089,2.0997315,0.7
"47","ENSG00000203747","hurdle",0,-1.8619127,-0.1468181,1.7150946,0.684
"23","ENSG00000135404","hurdle",0,-1.44073784,-0.03762006,1.40311778,0.664
"22","ENSG00000135046","hurdle",0,-0.8258385,0.2094025,1.035241,0.647
"20","ENSG00000129277","hurdle",0,-2.339729,-0.5818447,1.7578843,0.647
"50","ENSG00000235162","hurdle",0,-1.996671,-0.468933,1.527738,0.646
"38","ENSG00000172116","hurdle",0,-1.50577,-0.2393997,1.2663703,0.642
"40","ENSG00000176083","hurdle",0,-3.0955507,-0.9256501,2.1699006,0.626
"31","ENSG00000150687","hurdle",0,-2.957905,-1.120665,1.83724,0.614
"29","ENSG00000145220","hurdle",0,-1.7482888,-0.5874107,1.1608781,0.612
"51","ENSG00000239713","hurdle",0,-2.359669,-0.9257498,1.4339192,0.609
"33","ENSG00000159674","hurdle",0,-2.2458756,-0.9085619,1.3373137,0.605
"45","ENSG00000183734","hurdle",0,-3.067861,-1.285264,1.782597,0.6
"44","ENSG00000181036","hurdle",0,-3.002089,-1.336796,1.665293,0.597
"19","ENSG00000128294","hurdle",0,-2.363431,-1.060946,1.302485,0.597
"2","ENSG00000007264","hurdle",0,-2.1847555,-0.9664529,1.2183026,0.597
"21","ENSG00000134539","hurdle",0,-2.816409,-1.297727,1.518682,0.594
"10","ENSG00000101474","hurdle",0,-2.193969,-1.037483,1.156486,0.59
"36","ENSG00000167775","hurdle",0,-2.38437,-1.110137,1.274233,0.588
"46","ENSG00000196924","hurdle",0,-1.9595426,-0.8644487,1.0950939,0.587
"15","ENSG00000115956","hurdle",0,-2.457649,-1.186312,1.271337,0.586
"43","ENSG00000180739","hurdle",0,-2.795384,-1.397357,1.398027,0.585
"48","ENSG00000205336","hurdle",0,-3.002244,-1.464161,1.538083,0.584
"13","ENSG00000108798","hurdle",0,-2.306531,-1.159156,1.147375,0.583
"27","ENSG00000142347","hurdle",0,-2.126535,-1.085331,1.041204,0.581
"26","ENSG00000139187","hurdle",0,-2.337366,-1.190683,1.146683,0.58
"24","ENSG00000136213","hurdle",0,-2.39111,-1.240863,1.150247,0.579
"17","ENSG00000125868","hurdle",0,-2.084486,-1.046496,1.03799,0.576
"28","ENSG00000142634","hurdle",0,-2.515361,-1.3705,1.144861,0.574
"35","ENSG00000164483","hurdle",1.59315357920935e-280,-2.466644,-1.42758,1.039064,0.568
"16","ENSG00000116667","hurdle",0,-2.930822,-1.67289,1.257932,0.568
"49","ENSG00000229474","hurdle",0,-3.060394,-1.692405,1.367989,0.566
"41","ENSG00000176485","hurdle",2.74247378301259e-294,-2.68297,-1.54713,1.13584,0.565
"4","ENSG00000075234","hurdle",0,-2.984332,-1.796423,1.187909,0.562
"12","ENSG00000107317","hurdle",0,-2.3007183,-0.6366187,1.6640996,0.559
"5","ENSG00000077235","hurdle",6.91976841109244e-261,-3.072907,-2.060499,1.012408,0.546
