"","Gene","test.type","p_value","log2.mean.Cluster_Other","log2.mean.3","log2fold_change","Auc"
"145","ENSG00000163220","hurdle",0,-2.531414,3.766281,6.297695,0.971
"26","ENSG00000087086","hurdle",0,2.552144,4.803237,2.251093,0.965
"124","ENSG00000143546","hurdle",0,-2.958621,3.631089,6.58971,0.955
"199","ENSG00000196154","hurdle",0,1.157111,3.520129,2.363018,0.936
"6","ENSG00000011600","hurdle",0,-0.6776853,2.7220578,3.3997431,0.926
"14","ENSG00000034510","hurdle",0,2.780168,3.995167,1.214999,0.898
"206","ENSG00000197956","hurdle",0,0.4930899,2.7767755,2.2836856,0.896
"45","ENSG00000101439","hurdle",0,-1.117269,2.418161,3.53543,0.888
"110","ENSG00000137818","hurdle",0,3.076643,4.127743,1.0511,0.87
"18","ENSG00000051523","hurdle",0,1.101343,2.815701,1.714358,0.862
"155","ENSG00000167996","hurdle",0,2.154036,3.533434,1.379398,0.837
"215","ENSG00000204472","hurdle",0,-1.211642,1.770349,2.981991,0.815
"223","ENSG00000233276","hurdle",0,-1.036414,1.698398,2.734812,0.811
"204","ENSG00000197746","hurdle",0,-1.522228,1.506661,3.028889,0.805
"38","ENSG00000100097","hurdle",0,-0.9202061,1.8027959,2.723002,0.804
"216","ENSG00000204482","hurdle",0,-1.446696,1.460027,2.906723,0.802
"39","ENSG00000100300","hurdle",0,-0.8453482,1.6786985,2.5240467,0.798
"9","ENSG00000025708","hurdle",0,-2.359257,1.255224,3.614481,0.788
"198","ENSG00000196126","hurdle",0,-0.1718944,2.0709081,2.2428025,0.787
"22","ENSG00000084207","hurdle",0,-0.8001479,1.5879265,2.3880744,0.782
"112","ENSG00000140264","hurdle",0,0.7683659,2.1353919,1.367026,0.772
"29","ENSG00000090382","hurdle",0,-1.668287,1.237668,2.905955,0.768
"96","ENSG00000130066","hurdle",0,-0.9027726,1.5887788,2.4915514,0.753
"83","ENSG00000124172","hurdle",0,-0.01437952,1.66155648,1.675936,0.753
"101","ENSG00000131143","hurdle",0,1.262274,2.395318,1.133044,0.746
"197","ENSG00000188186","hurdle",0,-0.8752571,1.2465913,2.1218484,0.739
"24","ENSG00000085265","hurdle",0,-2.5060656,0.8057755,3.3118411,0.731
"30","ENSG00000092841","hurdle",0,0.6702989,1.8868691,1.2165702,0.722
"50","ENSG00000103490","hurdle",0,-1.6547245,0.8009344,2.4556589,0.704
"211","ENSG00000198888","hurdle",0,0.9729568,2.0233477,1.0503909,0.698
"162","ENSG00000170458","hurdle",0,-3.2162802,0.3415675,3.5578477,0.69
"106","ENSG00000135390","hurdle",0,0.3364218,1.4968624,1.1604406,0.683
"205","ENSG00000197766","hurdle",0,-2.5155162,0.3845547,2.9000709,0.682
"227","ENSG00000245532","hurdle",0,-2.0697814,0.5428719,2.6126533,0.676
"207","ENSG00000198502","hurdle",0,-0.9662684,0.8240693,1.7903377,0.674
"137","ENSG00000158869","hurdle",0,-1.1861574,0.5793193,1.7654767,0.673
"144","ENSG00000163191","hurdle",0,-1.280083,0.7307201,2.0108031,0.672
"221","ENSG00000223865","hurdle",5.62394838487119e-275,-0.3688951,1.2052064,1.5741015,0.669
"59","ENSG00000106565","hurdle",0,-2.89590219,-0.03304614,2.86285605,0.65
"37","ENSG00000100079","hurdle",0,-3.13696662,0.02667086,3.16363748,0.648
"99","ENSG00000130522","hurdle",0,-2.77426336,-0.08124927,2.69301409,0.641
"27","ENSG00000090013","hurdle",0,-2.775023899,-0.007640721,2.767383178,0.639
"143","ENSG00000163131","hurdle",0,-1.505827,0.313015,1.818842,0.638
"12","ENSG00000030582","hurdle",0,-2.63085065,-0.07157108,2.55927957,0.638
"94","ENSG00000127540","hurdle",0,-0.6660009,0.7308688,1.3968697,0.63
"220","ENSG00000221869","hurdle",0,-2.45513015,-0.08572374,2.36940641,0.629
"161","ENSG00000170345","hurdle",0,-0.5675855,0.7774889,1.3450744,0.629
"74","ENSG00000118640","hurdle",0,-0.8297477,0.556839,1.3865867,0.625
"19","ENSG00000066336","hurdle",0,-2.5418013,-0.2772839,2.2645174,0.624
"231","ENSG00000271614","hurdle",0,-2.4011776,-0.06479126,2.33638634,0.616
"49","ENSG00000103363","hurdle",0,-1.1483606,0.3498187,1.4981793,0.611
"226","ENSG00000243449","hurdle",0,-2.5266732,-0.2897621,2.2369111,0.61
