"","Gene","test.type","p_value","log2.mean.Cluster_Other","log2.mean.2","log2fold_change","Auc"
"600","ENSG00000233276","hurdle",0,-0.982162,4.744241,5.726403,1
"412","ENSG00000163737","hurdle",0,-3.23156,4.287548,7.519108,1
"411","ENSG00000163736","hurdle",0,-3.071015,5.934571,9.005586,1
"127","ENSG00000104904","hurdle",0,0.9867876,4.4845548,3.4977672,0.998
"239","ENSG00000127920","hurdle",0,-3.24168,3.954431,7.196111,0.997
"382","ENSG00000158710","hurdle",0,-0.5467181,3.4493086,3.9960267,0.993
"451","ENSG00000168497","hurdle",0,-3.261464,3.780291,7.041755,0.991
"202","ENSG00000120885","hurdle",0,-3.208839,3.789026,6.997865,0.985
"293","ENSG00000138293","hurdle",0,-2.913977,3.114999,6.028976,0.984
"445","ENSG00000167996","hurdle",3.68873958746825e-294,2.205447,4.764984,2.559537,0.978
"316","ENSG00000142669","hurdle",0,1.301835,4.173447,2.871612,0.976
"103","ENSG00000101608","hurdle",0,0.9231245,3.4845734,2.5614489,0.975
"99","ENSG00000101162","hurdle",0,-3.287163,2.802574,6.089737,0.974
"576","ENSG00000205542","hurdle",0,4.169164,6.03341,1.864246,0.968
"457","ENSG00000169704","hurdle",0,-3.298559,2.617964,5.916523,0.968
"369","ENSG00000154146","hurdle",0,-3.210464,2.978958,6.189422,0.967
"173","ENSG00000113140","hurdle",0,-3.300039,2.656136,5.956175,0.962
"355","ENSG00000149781","hurdle",0,-2.202467,2.558666,4.761133,0.956
"499","ENSG00000180573","hurdle",0,-3.052286,3.113739,6.166025,0.955
"486","ENSG00000176783","hurdle",0,-2.992774,2.660142,5.652916,0.952
"237","ENSG00000127824","hurdle",0,-1.623647,2.867565,4.491212,0.951
"38","ENSG00000067225","hurdle",0,-1.158069,2.402871,3.56094,0.948
"392","ENSG00000160014","hurdle",0,-1.237392,2.37118,3.608572,0.946
"253","ENSG00000130066","hurdle",2.11937368536597e-208,-0.7518821,2.856555,3.6084371,0.942
"425","ENSG00000166091","hurdle",0,-3.307068,2.31985,5.626918,0.941
"401","ENSG00000161911","hurdle",0,-3.30105,2.374634,5.675684,0.941
"34","ENSG00000064601","hurdle",0,-2.389591,2.439713,4.829304,0.941
"254","ENSG00000130429","hurdle",0,0.05710739,3.06708482,3.00997743,0.934
"167","ENSG00000111644","hurdle",0,-3.28139,2.945189,6.226579,0.93
"352","ENSG00000149357","hurdle",0,-1.474294,2.159203,3.633497,0.927
"350","ENSG00000148908","hurdle",0,-1.1617,2.457858,3.619558,0.927
"434","ENSG00000167460","hurdle",0,-2.568142,2.063918,4.63206,0.923
"52","ENSG00000075624","hurdle",2.39846754966228e-185,3.033765,5.138843,2.105078,0.923
"574","ENSG00000204592","hurdle",6.26429354828036e-226,0.8443954,3.0343529,2.1899575,0.92
"6","ENSG00000005961","hurdle",0,-3.300102,2.211482,5.511584,0.906
"209","ENSG00000122862","hurdle",4.61653300828037e-220,-0.656129,2.321537,2.977666,0.904
"400","ENSG00000161570","hurdle",4.20905248784295e-97,1.34308,3.638716,2.295636,0.9
"190","ENSG00000117592","hurdle",6.65738743229066e-311,-1.580834,1.839975,3.420809,0.898
"100","ENSG00000101335","hurdle",0,-3.297502,2.382849,5.680351,0.892
"604","ENSG00000236304","hurdle",0,-3.309385,1.574,4.883385,0.889
"229","ENSG00000125952","hurdle",0,-2.365251,1.784761,4.150012,0.885
"78","ENSG00000092841","hurdle",2.82328152416327e-179,0.7148249,2.8971088,2.1822839,0.881
"249","ENSG00000129355","hurdle",0,-2.057156,1.851355,3.908511,0.88
"289","ENSG00000137076","hurdle",4.65372384386039e-287,-2.401948,1.624502,4.02645,0.876
"240","ENSG00000128245","hurdle",0,-2.438628,1.798027,4.236655,0.874
"458","ENSG00000169756","hurdle",0,-2.503163,1.852264,4.355427,0.873
"89","ENSG00000100351","hurdle",0,-2.553443,1.760413,4.313856,0.873
"333","ENSG00000145335","hurdle",8.67252662560253e-303,-3.279343,1.502569,4.781912,0.865
"464","ENSG00000171611","hurdle",4.14005364418534e-271,-3.181152,2.303302,5.484454,0.859
"183","ENSG00000115758","hurdle",7.94332016432116e-317,-2.776503,1.39501,4.171513,0.857
