"","Gene","test.type","p_value","log2.mean.Cluster_Other","log2.mean.11","log2fold_change","Auc"
"19","ENSG00000105374","hurdle",0,0.6900081,3.835744,3.1457359,0.967
"26","ENSG00000115523","hurdle",0,1.003108,4.3632,3.360092,0.962
"16","ENSG00000100453","hurdle",0,-1.083725,2.196764,3.280489,0.893
"10","ENSG00000077984","hurdle",0,-0.83068,1.727061,2.557741,0.885
"55","ENSG00000145649","hurdle",0,-0.7438345,1.7529073,2.4967418,0.871
"77","ENSG00000169583","hurdle",0,-2.244583,1.499845,3.744428,0.869
"4","ENSG00000011600","hurdle",0,-0.5764555,1.5538717,2.1303272,0.861
"81","ENSG00000173762","hurdle",0,-0.2267782,1.7679181,1.9946963,0.858
"80","ENSG00000172543","hurdle",0,-0.7096919,1.5862653,2.2959572,0.854
"64","ENSG00000158869","hurdle",0,-1.494452,1.192549,2.687001,0.848
"83","ENSG00000180644","hurdle",0,-1.985919,1.176387,3.162306,0.845
"21","ENSG00000108518","hurdle",0,2.022754,3.079613,1.056859,0.822
"48","ENSG00000137441","hurdle",0,-1.571953,1.24135,2.813303,0.805
"78","ENSG00000171476","hurdle",0,-1.6604613,0.9106338,2.5710951,0.794
"7","ENSG00000051523","hurdle",0,1.095712,2.247222,1.15151,0.792
"87","ENSG00000185201","hurdle",0,0.08611139,1.5742114,1.48810001,0.786
"65","ENSG00000159674","hurdle",0,-2.6390966,0.5595064,3.198603,0.77
"32","ENSG00000122862","hurdle",0,-0.8303736,0.9530002,1.7833738,0.768
"95","ENSG00000198821","hurdle",0,-1.2823064,0.7695544,2.0518608,0.763
"54","ENSG00000145287","hurdle",0,-1.4959712,0.5856422,2.0816134,0.748
"92","ENSG00000197540","hurdle",0,-0.8964247,0.7768892,1.6733139,0.742
"96","ENSG00000203747","hurdle",0,-1.884028,0.3561892,2.2402172,0.739
"44","ENSG00000135404","hurdle",0,-1.4505606,0.3937868,1.8443474,0.722
"99","ENSG00000213719","hurdle",0,-0.2339168,0.9428916,1.1768084,0.707
"33","ENSG00000126264","hurdle",0,-0.2340858,0.927558,1.1616438,0.702
"68","ENSG00000163453","hurdle",0,-3.1503163,-0.2483391,2.9019772,0.698
"66","ENSG00000160255","hurdle",0,-0.8950645,0.5202138,1.4152783,0.697
"37","ENSG00000129277","hurdle",0,-2.4231065,0.1029924,2.5260989,0.696
"3","ENSG00000007264","hurdle",0,-2.285445,-0.1731096,2.1123354,0.69
"36","ENSG00000128340","hurdle",0,-0.07243793,0.95585808,1.02829601,0.688
"15","ENSG00000100450","hurdle",0,-1.062014,0.311236,1.37325,0.671
"11","ENSG00000084207","hurdle",0,-0.7246444,0.4040927,1.1287371,0.669
"27","ENSG00000115738","hurdle",0,-0.9879463,0.338664,1.3266103,0.664
"62","ENSG00000155366","hurdle",0,-2.2148784,-0.3557303,1.8591481,0.663
"18","ENSG00000101474","hurdle",0,-2.2614069,-0.3667038,1.8947031,0.663
"40","ENSG00000133321","hurdle",0,-0.7164345,0.3971727,1.1136072,0.656
"97","ENSG00000204475","hurdle",0,-2.202467,-0.5008971,1.7015699,0.639
"14","ENSG00000100385","hurdle",0,-2.9234668,-0.8293088,2.094158,0.637
"67","ENSG00000162434","hurdle",0,-1.6004471,-0.1705171,1.42993,0.636
"22","ENSG00000108798","hurdle",0,-2.3411157,-0.6346968,1.7064189,0.632
"73","ENSG00000167851","hurdle",0,-2.6974431,-0.7579918,1.9394513,0.63
"84","ENSG00000180739","hurdle",0,-2.8171242,-0.9158687,1.9012555,0.624
"50","ENSG00000142634","hurdle",0,-2.5532549,-0.8304643,1.7227906,0.622
"39","ENSG00000132965","hurdle",0,-1.7388567,-0.3696021,1.3692546,0.62
"28","ENSG00000115956","hurdle",0,-2.4575028,-0.8188379,1.6386649,0.619
"89","ENSG00000196139","hurdle",0,-3.190159,-0.9881312,2.2020278,0.618
"51","ENSG00000143110","hurdle",0,-1.4823347,-0.2799074,1.2024273,0.615
"31","ENSG00000117984","hurdle",0,-1.972986,-0.6440846,1.3289014,0.615
"35","ENSG00000128294","hurdle",0,-2.3299382,-0.8627935,1.4671447,0.612
"57","ENSG00000147443","hurdle",1.97626258336499e-323,-1.6902841,-0.4879548,1.2023293,0.611
"17","ENSG00000100612","hurdle",0,-1.7289665,-0.5171411,1.2118254,0.61
"41","ENSG00000134539","hurdle",0,-2.783002,-1.039327,1.743675,0.609
"56","ENSG00000146112","hurdle",3.26083326255223e-321,-1.6085586,-0.4807396,1.127819,0.607
"45","ENSG00000136213","hurdle",0,-2.3851337,-0.9262395,1.4588942,0.603
"60","ENSG00000150687","hurdle",0,-2.849668,-1.093807,1.755861,0.602
"42","ENSG00000134545","hurdle",0,-2.8759802,-0.9961114,1.8798688,0.602
"88","ENSG00000189067","hurdle",1.74958247790483e-289,-1.3233356,-0.2768052,1.0465304,0.6
"34","ENSG00000127314","hurdle",1.14467105091083e-318,-1.940605,-0.7884933,1.1521117,0.597
"24","ENSG00000109861","hurdle",3.41195386969389e-296,-1.9324292,-0.7332177,1.1992115,0.597
"1","ENSG00000000938","hurdle",0,-2.638993,-1.108054,1.530939,0.597
"61","ENSG00000153310","hurdle",7.01334763273472e-312,-1.9086157,-0.7314433,1.1771724,0.596
"100","ENSG00000221869","hurdle",0,-2.4274699,-0.9676143,1.4598556,0.594
"2","ENSG00000006075","hurdle",0,-2.9862044,-0.8288057,2.1573987,0.593
"71","ENSG00000166289","hurdle",0,-2.665026,-1.165316,1.49971,0.591
"30","ENSG00000117281","hurdle",0,-3.211615,-1.336879,1.874736,0.591
"101","ENSG00000235162","hurdle",1.3667377705751e-222,-1.8620513,-0.7956607,1.0663906,0.59
"49","ENSG00000142347","hurdle",2.12173636874702e-265,-2.0975431,-0.9452499,1.1522932,0.59
"29","ENSG00000116667","hurdle",0,-2.93508,-1.285567,1.649513,0.59
"102","ENSG00000239713","hurdle",9.88217253014896e-282,-2.27526,-0.9752735,1.2999865,0.589
"47","ENSG00000136950","hurdle",5.59722732035372e-277,-2.079795,-0.9093504,1.1704446,0.588
"9","ENSG00000075234","hurdle",0,-3.000718,-1.357595,1.643123,0.588
"98","ENSG00000205336","hurdle",0,-2.939905,-1.340796,1.599109,0.587
"63","ENSG00000155368","hurdle",2.29782939512795e-246,-1.675623,-0.665254,1.010369,0.587
"43","ENSG00000134996","hurdle",6.9685304063723e-275,-1.92368,-0.826808,1.096872,0.584
"23","ENSG00000109062","hurdle",1.05437767419912e-235,-1.9703843,-0.9198426,1.0505417,0.581
"70","ENSG00000164483","hurdle",9.03324154375204e-253,-2.448641,-1.213574,1.235067,0.58
"53","ENSG00000143185","hurdle",0,-3.161634,-1.482832,1.678802,0.58
"79","ENSG00000171604","hurdle",0,-2.944579,-1.461612,1.482967,0.579
"8","ENSG00000073861","hurdle",0,-2.994956,-1.48944,1.505516,0.578
"72","ENSG00000167664","hurdle",1.58578872093322e-275,-2.34807,-1.138678,1.209392,0.575
"105","ENSG00000265206","hurdle",9.12455494092918e-228,-2.286584,-1.171329,1.115255,0.574
"76","ENSG00000168995","hurdle",0,-3.247914,-1.646728,1.601186,0.574
"52","ENSG00000143184","hurdle",0,-3.099735,-1.513884,1.585851,0.574
"103","ENSG00000262074","hurdle",7.01042554501475e-273,-2.767123,-1.394965,1.372158,0.572
"38","ENSG00000129968","hurdle",3.74324886776023e-257,-2.642408,-1.420949,1.221459,0.572
"6","ENSG00000036448","hurdle",0,-3.209923,-1.395096,1.814827,0.571
"20","ENSG00000107317","hurdle",0,-2.4133366,0.1355235,2.5488601,0.57
"74","ENSG00000168229","hurdle",9.23902757723131e-322,-3.049778,-1.612857,1.436921,0.569
"94","ENSG00000198574","hurdle",0,-3.287718,-1.746685,1.541033,0.566
"12","ENSG00000086730","hurdle",2.85919522589117e-303,-2.974089,-1.643331,1.330758,0.566
"46","ENSG00000136250","hurdle",1.69338972540601e-245,-2.828655,-1.58254,1.246115,0.565
"5","ENSG00000027869","hurdle",2.39347125929634e-264,-2.734783,-1.465528,1.269255,0.565
"93","ENSG00000197971","hurdle",1.11784258914988e-197,-2.381951,-1.326747,1.055204,0.563
"91","ENSG00000197536","hurdle",4.24927758231536e-182,-2.3909,-1.348137,1.042763,0.563
"85","ENSG00000181036","hurdle",7.48101285825354e-216,-2.856661,-1.622248,1.234413,0.562
"86","ENSG00000183386","hurdle",9.25400693825037e-300,-3.073109,-1.756496,1.316613,0.561
"69","ENSG00000163564","hurdle",7.69881345328332e-216,-2.763496,-1.606755,1.156741,0.56
"59","ENSG00000150045","hurdle",0,-3.265771,-1.942664,1.323107,0.556
"25","ENSG00000111796","hurdle",9.96082384652444e-192,-2.673839,-1.55625,1.117589,0.556
"90","ENSG00000196684","hurdle",3.09985244067939e-262,-3.034104,-1.806664,1.22744,0.554
"75","ENSG00000168329","hurdle",7.72404778543401e-268,-3.137758,-1.927728,1.21003,0.553
"82","ENSG00000175040","hurdle",3.84138524583095e-307,-3.168987,-1.935255,1.233732,0.551
"58","ENSG00000148180","hurdle",3.23176616270142e-259,-3.041651,-1.925038,1.116613,0.551
"13","ENSG00000100030","hurdle",3.56162599354045e-195,-2.870235,-1.784085,1.08615,0.55
"104","ENSG00000262202","hurdle",3.42910583167493e-177,-3.030134,-1.985811,1.044323,0.541
