"","Gene","test.type","p_value","log2.mean.Cluster_Other","log2.mean.3","log2fold_change","Auc"
"113","Krt18","hurdle",5.13475382224509e-59,1.132718,4.60223,3.469512,0.962
"116","Krt8","hurdle",2.94643189878255e-56,1.402202,4.555652,3.15345,0.953
"220","Tpm1","hurdle",1.19525392720012e-33,0.9420017,3.0290981,2.0870964,0.889
"15","Anxa2","hurdle",6.05721929857608e-33,-0.5091239,2.0979823,2.6071062,0.883
"118","Lgals1","hurdle",9.71781541045465e-30,0.563142,2.827819,2.264677,0.87
"5","Actn1","hurdle",9.35140953022667e-30,-0.4042498,1.9203083,2.3245581,0.865
"201","Sparc","hurdle",4.72849008587913e-25,1.683734,2.973778,1.290044,0.861
"205","Tagln","hurdle",6.00849995358044e-31,1.301142,3.878362,2.57722,0.857
"30","Cald1","hurdle",2.51360326173923e-28,-0.2830454,2.0244984,2.3075438,0.855
"81","Flnb","hurdle",2.86997290204839e-25,1.677773,3.066191,1.388418,0.852
"16","Anxa3","hurdle",4.27188441423801e-25,-0.5787656,1.5297718,2.1085374,0.839
"185","S100a6","hurdle",6.35177322700572e-25,0.483378,2.991026,2.507648,0.837
"47","Cnn2","hurdle",9.9603058692572e-25,-0.02797691,2.06306805,2.09104496,0.835
"206","Tagln2","hurdle",4.05998469908588e-23,0.2937563,2.0019866,1.7082303,0.834
"8","Ahnak","hurdle",6.93518523262866e-24,-0.4688974,1.5218817,1.9907791,0.834
"217","Tmsb4x","hurdle",6.2821174044484e-22,0.6870013,2.2867415,1.5997402,0.826
"82","Flnc","hurdle",1.16821352415262e-22,-1.3291117,0.9811335,2.3102452,0.812
"191","Sfn","hurdle",4.8037849452438e-20,1.607399,3.085055,1.477656,0.809
"100","Hspb1","hurdle",2.80354436134925e-17,2.648968,3.716689,1.067721,0.808
"52","Csrp1","hurdle",1.7988486065866e-19,0.1886985,1.9142933,1.7255948,0.807
"228","Wbp5","hurdle",1.5139372651329e-19,1.312727,2.614385,1.301658,0.805
