"","Gene","test.type","p_value","log2.mean.Cluster_Other","log2.mean.2","log2fold_change","Auc"
"654","Sct","hurdle",2.49860857745108e-09,-2.531217,3.104337,5.635554,1
"146","Cdkn1c","hurdle",4.03267206129186e-14,-1.150833,3.940167,5.091,1
"515","Nrk","hurdle",9.49032756639175e-07,-2.255053,1.510962,3.766015,0.999
"671","Sin3b","hurdle",1.10291586891338e-08,-0.4730539,3.0179219,3.4909758,0.997
"327","Hmgn5","hurdle",2.9777738848283e-09,-1.186341,2.666757,3.853098,0.996
"625","Rhox9","hurdle",2.68200529276139e-06,-0.9341309,3.7655347,4.6996656,0.993
"438","Mbnl3","hurdle",1.78325994332416e-05,-1.920114,1.510962,3.431076,0.99
"377","Kif26a","hurdle",1.38214528099737e-05,-2.471593,1.070389,3.541982,0.99
"279","Gjb3","hurdle",1.10043572373799e-05,-1.786965,1.632268,3.419233,0.989
"75","Arpc1b","hurdle",3.27360280813929e-07,0.7202305,3.5046204,2.7843899,0.988
"624","Rhox6","hurdle",4.03845039023219e-06,-0.4227807,3.9634741,4.3862548,0.984
"337","Hsph1","hurdle",2.29864446292361e-05,-0.8653713,1.6322682,2.4976395,0.982
"329","Hmox1","hurdle",1.19679075900164e-05,0.1565242,2.6088092,2.452285,0.981
"551","Phlda2","hurdle",1.49873183418308e-06,-0.8558107,2.9726927,3.8285034,0.98
"584","Prss8","hurdle",1.93418312961819e-06,-0.8558107,2.2016339,3.0574446,0.979
"542","Peg10","hurdle",0.000168870402197871,0.7858331,3.1043367,2.3185036,0.976
"539","Pdrg1","hurdle",6.44052476611276e-05,-1.116179,1.378512,2.494691,0.976
"229","Elf3","hurdle",6.10111187839012e-05,-1.880801,1.070389,2.95119,0.976
"392","Krt7","hurdle",0.000141857464991706,-0.9042603,2.1210154,3.0252757,0.972
"623","Rhox5","hurdle",0.000115486356068799,-1.632058,2.121015,3.753073,0.968
"111","Calm1","hurdle",0.00107164031916819,2.265446,3.817623,1.552177,0.967
"504","Ninj1","hurdle",4.57504636539641e-05,-1.552681,1.232661,2.785342,0.966
"869","Zxdc","hurdle",0.000286957966530157,-2.0890433,0.6780719,2.7671152,0.965
"315","H19","hurdle",0.00020857614931604,1.744947,4.899659,3.154712,0.965
"83","Atp11a","hurdle",0.000316268696482426,-2.0449207,0.6780719,2.7229926,0.964
"133","Ccnd3","hurdle",1.92105149488573e-05,-0.2313713,2.2779847,2.509356,0.959
"807","Uchl1","hurdle",0.000135640492868292,-0.2500352,1.9448584,2.1948936,0.958
"543","Peg3","hurdle",0.000136486527755276,-0.9543938,2.0356239,2.9900177,0.951
"835","Wdr26","hurdle",0.00119121491796057,0.1278983,1.8479969,1.7200986,0.948
"837","Zbtb10","hurdle",0.000303491822954329,-2.023355,1.070389,3.093744,0.945
"191","Dbi","hurdle",0.000968691875627011,-0.4157397,1.5109619,1.9267016,0.945
