"","Gene","test.type","p_value","log2.mean.Cluster_Other","log2.mean.4","log2fold_change","Auc"
"15","Gm6644","hurdle",1.59022681775821e-31,0.7365412,2.352488,1.6159468,0.879
"2","Akr1b3","hurdle",6.63129364776135e-31,0.8290138,2.435591,1.6065772,0.879
"32","Pou5f1","hurdle",3.58870743849626e-20,0.9159145,2.1681177,1.2522032,0.811
"28","Pim2","hurdle",1.5481838545884e-23,-1.641207,1.045994,2.687201,0.81
"25","Nlrp1a","hurdle",1.2888883962928e-18,1.060251,2.342507,1.282256,0.807
"40","Tdgf1","hurdle",1.52876551290169e-21,-1.398164,1.075219,2.473383,0.803
"22","Mkrn1","hurdle",2.78330472419343e-18,-0.719393,1.031157,1.75055,0.795
"21","Mgl2","hurdle",3.4056036372048e-13,-0.1263026,1.1865363,1.3128389,0.755
"27","Phc1","hurdle",9.53637847332156e-13,-0.8471485,0.7402131,1.5873616,0.741
"19","L1td1","hurdle",1.91894495432118e-11,-0.2723998,1.0161648,1.2885646,0.735
"11","Dnmt3l","hurdle",3.79784456401413e-11,0.567889,1.859242,1.291353,0.731
"14","Gm5860","hurdle",5.23744831985229e-11,-0.09197832,1.20868431,1.30066263,0.729
"34","Snurf","hurdle",2.59769214954276e-10,-1.1193721,0.4442042,1.5635763,0.708
"33","Snrpn","hurdle",2.59769214954276e-10,-1.1193721,0.4442042,1.5635763,0.708
"8","Cyb5r1","hurdle",1.7814226914422e-10,-1.2904499,0.1649494,1.4553993,0.708
"3","Apela","hurdle",7.31711565856772e-11,-2.1520031,-0.3017502,1.8502529,0.676
"39","Tcf15","hurdle",7.25496823417837e-13,-2.5267479,-0.3398183,2.1869296,0.673
"18","Jarid2","hurdle",3.03299950671708e-07,-1.166217,0.1558587,1.3220757,0.667
"4","B3gnt7","hurdle",1.01752440001892e-06,-1.3704719,-0.1474947,1.2229772,0.657
"31","Pold2","hurdle",4.16590036460666e-07,-1.455195,-0.327017,1.128178,0.656
"30","Pml","hurdle",2.55692976392311e-07,-1.8548021,-0.3527341,1.502068,0.653
"38","Tcea3","hurdle",7.54438305337856e-09,-2.2495196,-0.8423186,1.407201,0.645
"29","Pla2g1b","hurdle",3.54005864044455e-06,-1.2394659,-0.2166466,1.0228193,0.642
"10","Ddt","hurdle",5.31910929314305e-05,-1.3433017,-0.2769184,1.0663833,0.632
"37","Spry4","hurdle",5.43036692342714e-05,-1.9747627,-0.5768575,1.3979052,0.611
"24","Naf1","hurdle",5.16954660584605e-07,-2.870232,-1.416393,1.453839,0.609
"36","Sox2","hurdle",0.000572359559089194,-1.9336575,-0.9170864,1.0165711,0.597
"1","2410007B07Rik","hurdle",1.14062194107978e-06,-3.034352,-1.471675,1.562677,0.595
"35","Socs2","hurdle",0.000458316598679505,-2.1520031,-0.9559754,1.1960277,0.593
"13","Gdf3","hurdle",6.72891847852798e-05,-2.409391,-1.2868,1.122591,0.593
"5","Ccno","hurdle",3.7460785708382e-05,-2.794681,-1.167894,1.626787,0.588
"17","Irf1","hurdle",0.00132598729840268,-2.300866,-1.262222,1.038644,0.585
"26","Otx2","hurdle",0.000223953047206457,-2.72289,-1.389526,1.333364,0.581
"20","Mbtd1","hurdle",0.0045776744129425,-2.0170735,-0.9959418,1.0211317,0.58
"7","Coprs","hurdle",0.000279232321282946,-2.72289,-1.651496,1.071394,0.576
"12","Fgf4","hurdle",0.00137224367095134,-2.794681,-1.683773,1.110908,0.567
"6","Coch","hurdle",0.018542237247621,-2.24952,-1.122947,1.126573,0.56
"23","Msx1","hurdle",0.0144521834392641,-2.794681,-1.716788,1.077893,0.549
"16","Gm7102","hurdle",0.108109185175834,-1.8548021,-0.5768575,1.2779446,0.54
"9","Dcdc2c","hurdle",0.336821297738672,-2.017074,-0.898028,1.119046,0.527
